date,actual,predicted,residual
2024-06-28,55.0,65.07261434269763,-10.072614342697634
2024-06-29,37.15,73.19705140488362,-36.047051404883625
2024-06-30,31.87,172.39467581493392,-140.52467581493391
2024-07-01,39.3,180.29266336231697,-140.992663362317
2024-07-02,22.78,181.2912564366639,-158.5112564366639
2024-07-03,14.74,118.80166257194057,-104.06166257194057
2024-07-04,11.53,132.41633349605382,-120.88633349605382
2024-07-05,14.12,120.22829493290592,-106.10829493290592
2024-07-06,50.66,103.95826312738983,-53.29826312738983
2024-07-07,62.21,33.33236099258151,28.877639007418487
2024-07-08,34.43,36.65624385836112,-2.226243858361123
2024-07-09,24.39,32.067939288051335,-7.677939288051334
2024-07-10,27.19,30.645581422191285,-3.4555814221912833
2024-07-11,33.96,43.90482531452699,-9.944825314526987
2024-07-12,22.2,47.81318786108784,-25.61318786108784
2024-07-13,29.96,60.049981027502504,-30.089981027502503
2024-07-14,21.48,35.8820405493095,-14.4020405493095
2024-07-15,23.33,37.845099810813835,-14.515099810813837
2024-07-16,31.92,29.33530560846554,2.5846943915344625
2024-07-17,29.1,31.71033767394699,-2.61033767394699
2024-07-18,26.59,30.42130841188757,-3.8313084118875693
2024-07-19,18.62,36.07942836224433,-17.459428362244328
2024-07-20,27.54,36.86376267153585,-9.323762671535853
2024-07-21,23.78,30.52540953680981,-6.7454095368098095
2024-07-22,25.12,43.49576627085276,-18.37576627085276
2024-07-23,29.09,35.954901738383455,-6.864901738383455
2024-07-24,26.31,42.431473700724325,-16.121473700724327
2024-07-25,20.81,40.991614492547676,-20.181614492547677
2024-07-26,24.23,35.27726699316464,-11.047266993164637
2024-07-27,26.71,36.06948953711731,-9.359489537117312
2024-07-28,23.45,37.57548358628472,-14.12548358628472
2024-07-29,10.9,41.337484833147336,-30.437484833147337
2024-07-30,20.71,40.31570787482054,-19.60570787482054
2024-07-31,18.74,37.97840593946128,-19.238405939461284
2024-08-01,14.39,39.21313584942549,-24.82313584942549
2024-08-02,13.15,33.31327959733666,-20.16327959733666
2024-08-03,15.28,37.94052529791023,-22.660525297910226
2024-08-04,11.7,36.00039097922211,-24.30039097922211
2024-08-05,14.64,34.78081706494715,-20.14081706494715
2024-08-06,13.89,33.16908006974001,-19.27908006974001
2024-08-07,17.06,34.9982023655933,-17.938202365593302
2024-08-08,9.61,38.44366960948278,-28.833669609482783
2024-08-09,13.45,37.29841654762083,-23.848416547620833
2024-08-10,14.49,35.966218784865454,-21.476218784865452
2024-08-11,24.66,36.471325993468135,-11.811325993468134
2024-08-12,15.97,36.945425245901376,-20.975425245901377
2024-08-13,15.37,36.11274962636531,-20.74274962636531
2024-08-14,13.74,37.343280923066125,-23.603280923066123
2024-08-15,0.05,36.0113236070339,-35.961323607033904
2024-08-16,0.05,36.639174767790884,-36.58917476779089
2024-08-17,20.47,37.95331667425164,-17.48331667425164
2024-08-18,10.62,36.20508701489138,-25.585087014891386
2024-08-19,22.3,38.38246786576961,-16.082467865769612
2024-08-20,13.71,36.091489131594905,-22.381489131594904
2024-08-21,22.21,40.103341713436926,-17.893341713436925
2024-08-22,15.18,40.008293510452475,-24.828293510452475
2024-08-23,18.7,39.133527003251416,-20.433527003251417
2024-08-24,13.17,39.20696811643143,-26.03696811643143
2024-08-25,12.69,39.000307786512536,-26.31030778651254
2024-08-26,17.9,39.23551927253444,-21.33551927253444
2024-08-27,34.21,39.936293000567424,-5.7262930005674235
2024-08-28,20.83,40.14935954969115,-19.31935954969115
2024-08-29,19.86,38.818619550247,-18.958619550247
2024-08-30,20.73,39.437038637143935,-18.707038637143935
2024-08-31,24.91,33.34009109821288,-8.43009109821288
2024-09-01,13.79,34.7381067623952,-20.9481067623952
2024-09-02,20.25,36.72811453836657,-16.47811453836657
2024-09-03,20.73,33.33596016048018,-12.605960160480176
2024-09-04,14.57,36.1613637314819,-21.5913637314819
2024-09-05,20.18,36.07315053983607,-15.893150539836071
2024-09-06,25.25,30.599989102659702,-5.349989102659702
2024-09-07,23.61,34.91691377263816,-11.306913772638161
2024-09-08,18.22,30.38433480116275,-12.164334801162752
2024-09-09,10.48,32.17637391325938,-21.696373913259382
2024-09-10,9.05,30.6586601706169,-21.6086601706169
2024-09-11,18.02,32.138679234472825,-14.118679234472825
2024-09-12,22.27,35.22101853738508,-12.951018537385078
2024-09-13,32.06,30.705960415686338,1.3540395843136643
2024-09-14,41.81,29.64323521953344,12.166764780466561
2024-09-15,23.14,30.654743426199747,-7.514743426199747
2024-09-16,22.65,34.16978503921655,-11.51978503921655
2024-09-17,22.15,31.474583311849994,-9.324583311849995
2024-09-18,28.07,30.828773761484307,-2.7587737614843064
2024-09-19,32.31,30.530856262541917,1.7791437374580852
2024-09-20,48.77,27.732249413882762,21.03775058611724
2024-09-21,73.68,30.228173624146873,43.45182637585313
2024-09-22,56.54,32.75541496584278,23.784585034157217
2024-09-23,21.46,30.23646205678891,-8.776462056788908
2024-09-24,16.78,41.26401929149933,-24.48401929149933
2024-09-25,17.22,48.727545935855254,-31.507545935855255
2024-09-26,21.07,49.79313598497119,-28.723135984971186
2024-09-27,36.45,43.397766220001635,-6.947766220001633
2024-09-28,43.28,32.42206628756826,10.857933712431738
2024-09-29,46.89,31.386378275027703,15.503621724972298
2024-09-30,42.74,35.78069535656627,6.9593046434337325
2024-10-01,49.71,45.96847910154957,3.741520898450432
2024-10-02,31.53,39.29376803149405,-7.763768031494045
2024-10-03,35.06,43.00682497997001,-7.94682497997001
2024-10-04,32.6,47.57897453676077,-14.978974536760767
2024-10-05,45.7,47.45560870990925,-1.7556087099092466
2024-10-06,38.47,52.43891192262862,-13.968911922628621
2024-10-07,38.41,39.63830526841733,-1.22830526841733
2024-10-08,37.67,38.33146340031291,-0.6614634003129112
2024-10-09,43.78,45.48864245407102,-1.7086424540710183
2024-10-10,63.38,48.97094635271556,14.409053647284445
